time/time_elapsed,rollout/episode_length,rollout/episode_reward_sum,time/iterations,rollout/episode_reward_short_path,rollout/episode_reward_height_coverage,time/fps,time/total_timesteps,time/rollout,train/entropy_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,time/training,train/clip_fraction,train/clip_range_vf,train/learning_rate
17,20.5043,2.0192,1,-26.9017,0.2355,487,8192,16.79123044013977,,,,,,,,,,,,
37,85.5814,3.2807,2,-117.9331,0.7537,482,16384,16.99174928665161,-19.381547737121583,-0.0670545224507805,7.512658596038818,5,0.053115893,0.010215818881988525,0.2,11.009177516400815,3.4983675479888916,0.3453369140625,0.2,0.0001
58,99.3647,3.3746,3,-137.7294,0.8574,482,24576,16.97073459625244,-19.333168864250183,-0.06032629675755743,138.67835998535156,10,0.06337918,0.17277055978775024,0.2,238.77307665348053,3.2707643508911133,0.456982421875,0.2,0.0001
78,99.1654,3.4217,4,-137.3308,0.8577,481,32768,17.00173544883728,-19.271962636709212,-0.050236539528123104,543.1360473632812,15,0.083043635,0.14632487297058105,0.2,810.57973279953,3.3245973587036133,0.53193359375,0.2,0.0001
98,98.6766,3.5491,5,-136.3532,0.8592,488,40960,16.76383876800537,-19.16882833838463,-0.045346108128433114,2629.869140625,20,0.10467577,0.13565897941589355,0.2,3837.464542007446,3.2815470695495605,0.5111572265625,0.2,0.0001
118,97.8909,3.6764,6,-134.7818,0.8577,481,49152,17.007771492004395,-19.10363398194313,-0.05591034988465253,8044.40185546875,25,0.080093846,0.10698366165161133,0.2,11396.762097167968,3.32887601852417,0.5109130859375,0.2,0.0001
139,98.3295,3.6746,7,-135.659,0.862,477,57344,17.16371250152588,-19.096966564655304,-0.04453841701033525,4041.346435546875,30,0.11686329,0.11712634563446045,0.2,5459.2788711547855,3.397740125656128,0.4894775390625,0.2,0.0001
159,98.5187,3.7369,8,-136.0374,0.867,484,65536,16.89875054359436,-18.984371143579484,-0.02623303352156654,4297.30810546875,35,0.12652446,0.11530625820159912,0.2,3820.770630073547,3.419334888458252,0.4920166015625,0.2,0.0001
179,97.8523,3.8183,9,-134.7046,0.8644,484,73728,16.89901852607727,-18.66688934662057,-0.03561471207887403,9436.923828125,40,0.17920642,0.13706940412521362,0.2,11592.090385772897,3.349407911300659,0.5078616352201258,0.2,0.0001
198,98.9683,3.5005,10,-136.9366,0.8597,476,81920,17.188592195510864,-18.532044491525422,0.043746976947443464,12172.400390625,45,0.15224028,0.14439332485198975,0.2,13085.175776077529,1.2339632511138916,0.4297537076271186,0.2,0.0001
218,99.1373,3.4666,11,-137.2746,0.8597,483,90112,16.931204795837402,-18.90528987646103,-0.019967335878754967,5259.02978515625,50,0.14114106,0.15180116891860962,0.2,4450.56600780487,3.344083070755005,0.475146484375,0.2,0.0001
238,98.5731,3.5753,12,-136.1462,0.8595,484,98304,16.923357009887695,-18.75648732278861,-0.02662197163852017,1270.64453125,55,0.16490966,0.3271360397338867,0.2,822.7114928002451,3.1488990783691406,0.45054636437908496,0.2,0.0001
256,97.5073,3.8074,13,-134.0146,0.8604,487,106496,16.808335065841675,-18.451961591405777,0.03411664960236804,287.68609619140625,60,0.118411236,0.2789679169654846,0.2,834.4605381789717,1.0777065753936768,0.2848907766990291,0.2,0.0001
276,97.7062,3.7853,14,-134.4124,0.8613,479,114688,17.07474112510681,-18.638133257627487,-0.01250043991021812,626.0643920898438,65,0.07127042,0.17529022693634033,0.2,255.47899662852288,3.358316421508789,0.3972412109375,0.2,0.0001
297,96.5501,4.2353,15,-132.1002,0.8723,482,122880,16.984346628189087,-18.608491438627244,-0.02574430999229662,82.4339828491211,70,0.083496675,0.14608705043792725,0.2,110.42585322260857,3.289022922515869,0.4328125,0.2,0.0001
