time/time_elapsed,time/iterations,rollout/episode_reward_short_path,rollout/episode_length,rollout/episode_reward_height_coverage,time/total_timesteps,rollout/episode_reward_sum,time/rollout,time/fps,train/clip_range_vf,train/clip_range,train/learning_rate,train/explained_variance,train/value_loss,time/training,train/entropy_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/loss,train/approx_kl
9,1,-20.155,15.355,0.454,4096,7.065,8.733541250228882,468,,,,,,,,,,,,
19,2,-82.705,59.905,0.699,8192,5.71,8.97430968284607,456,0.2,0.2,0.0001,0.00733339786529541,13.019785127043724,1.8345320224761963,-19.382067489624024,5,0.385205078125,-0.07980773532763123,8.771440505981445,0.05345093
30,3,-127.324,91.684,0.8749,12288,4.7656,8.951099872589111,457,0.2,0.2,0.0001,0.1266213059425354,1586.9151583584871,1.451169729232788,-19.340127916047066,10,0.4298650568181818,-0.07154663572454768,1279.724609375,0.06400782
40,4,-138.8572,99.9286,0.9219,16384,4.5532,8.99470043182373,455,0.2,0.2,0.0001,0.015563607215881348,11838.284507943803,1.2158429622650146,-19.29441466451693,15,0.4474789915966387,-0.06791024669190916,9162.15625,0.05593319
50,5,-138.58,99.79,0.9218,20480,4.5771,9.028747797012329,453,0.2,0.2,0.0001,0.0059972405433654785,20558.06261927481,1.3286058902740479,-19.243506788297463,20,0.48520992366412213,-0.0737324365990535,16076.421875,0.07357145
61,6,-138.4648,99.7324,0.9217,24576,4.5882,9.083733558654785,450,0.2,0.2,0.0001,-0.009994268417358398,34443.39505912162,1.149869680404663,-19.19843575761125,25,0.45319538288288286,-0.058875593180592,27195.0859375,0.0631602
70,7,-138.8674,99.9337,0.922,28672,4.5532,9.054053783416748,452,0.2,0.2,0.0001,0.0014418363571166992,61428.04469358766,0.7961788177490234,-19.0976583059732,30,0.4275568181818182,-0.03550586129792712,46388.328125,0.056971915
80,8,-138.91,99.955,0.9237,32768,4.5836,9.085029363632202,450,0.2,0.2,0.0001,0.007609903812408447,98952.55882352941,0.35372257232666016,-18.984123959260828,35,0.41980698529411764,0.022700736518291867,80032.3671875,0.0697822
89,9,-138.7918,99.8959,0.9244,36864,4.6082,8.905963659286499,459,0.2,0.2,0.0001,0.01322484016418457,246191.64488636365,0.22199559211730957,-18.95338994806463,40,0.3856534090909091,0.027389732697470623,164796.1875,0.03736401
98,10,-138.18,99.59,0.9263,40960,4.7087,8.983416557312012,455,0.2,0.2,0.0001,0.015929043292999268,344783.2048611111,0.18048810958862305,-18.84589015112983,45,0.3910590277777778,0.030536498357024457,318288.34375,0.037881177
107,11,-137.8816,99.4408,0.9289,45056,4.7891,8.998902082443237,455,0.2,0.2,0.0001,0.0166548490524292,278944.65625,0.12095069885253906,-18.74000072479248,50,0.3587239583333333,0.03482694582392772,238183.609375,0.03415225
116,12,-138.3106,99.6553,0.9295,49152,4.7586,8.827094793319702,464,0.2,0.2,0.0001,0.020444095134735107,423680.38671875,0.08493733406066895,-18.47576904296875,55,0.3466796875,0.030258650658652186,374356.34375,0.03569324
125,13,-138.3188,99.6594,0.9294,53248,4.7563,8.76464033126831,467,0.2,0.2,0.0001,0.021771907806396484,870982.9642857143,0.07013773918151855,-18.18504742213658,60,0.3013392857142857,0.023074730166367123,688437.875,0.029558007
134,14,-138.12,99.56,0.9286,57344,4.7602,8.945922613143921,457,0.2,0.2,0.0001,0.0152243971824646,29812.91162109375,0.059583425521850586,-17.88740603129069,65,0.31640625,0.015312976979960998,16278.2451171875,0.035121635
143,15,-138.0716,99.5358,0.9273,61440,4.7393,8.944348096847534,457,0.2,0.2,0.0001,-0.007003188133239746,33890.41533203125,0.054132699966430664,-17.569967651367186,70,0.26875,0.0041695661842823025,38378.43359375,0.027507216
152,16,-138.3284,99.6642,0.9271,65536,4.7097,8.949054479598999,457,0.2,0.2,0.0001,-0.012159585952758789,120728.66638183594,0.07186150550842285,-17.2409542628697,75,0.36941964285714285,0.021187932629670416,37800.953125,0.045607567
161,17,-138.74,99.87,0.928,69632,4.6856,9.068224430084229,451,0.2,0.2,0.0001,-0.011692404747009277,122218.59361049107,0.07410955429077148,-17.279734475272043,80,0.34933035714285715,0.014611078958426203,11915.46484375,0.03908622
170,18,-139.0,100.0,0.9288,73728,4.6762,8.98456072807312,455,0.2,0.2,0.0001,-0.014672994613647461,86223.78346252441,0.08241629600524902,-17.46557354927063,85,0.3623046875,0.0003715932834893465,99175.8515625,0.044472005
179,19,-139.0,100.0,0.9278,77824,4.6567,8.953759670257568,457,0.2,0.2,0.0001,0.012316107749938965,68857.61997767857,0.0707552433013916,-17.304892131260463,90,0.3236607142857143,0.009419550054839678,37142.3046875,0.038792454
188,20,-139.0,100.0,0.925,81920,4.6,8.897202253341675,460,0.2,0.2,0.0001,0.019913315773010254,52092.517578125,0.07706737518310547,-17.087590081351145,95,0.32700892857142855,0.022177150206906453,40155.9609375,0.036947887
197,21,-139.0,100.0,0.9196,86016,4.491,9.011719226837158,454,0.2,0.2,0.0001,0.0308343768119812,52805.3204498291,0.07986617088317871,-17.221725702285767,100,0.3388671875,0.010125089669600129,1027.1558837890625,0.035073206
