rollout/episode_reward_sum,time/time_elapsed,time/total_timesteps,time/fps,rollout/episode_length,time/rollout,rollout/episode_reward_height_coverage,rollout/episode_reward_short_path,time/iterations,train/clip_range_vf,train/explained_variance,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,time/training,train/clip_range,train/loss,train/value_loss,train/n_updates
2.1832,17,8192,486,19.3744,16.828866004943848,0.2196,-22.0864,1,,,,,,,,,,,,
4.7321,37,16384,485,84.6748,16.878920316696167,0.7395,-100.5788,2,0.2,0.012057006359100342,0.35283203125,-19.380964481830596,-0.07004368287598481,0.0001,0.05341345,3.4395248889923096,0.2,9.006546020507812,12.172908663749695,5
5.2062,58,24576,479,100.0,17.085649013519287,0.8553,-119.0,3,0.2,0.15286558866500854,0.4798583984375,-19.331026315689087,-0.06753803754108959,0.0001,0.061259944,3.3956849575042725,0.2,397.06060791015625,652.4680280685425,10
5.1788,78,32768,488,100.0,16.779170513153076,0.8539,-119.0,4,0.2,0.17258846759796143,0.513427734375,-19.263406389951705,-0.06417547791497782,0.0001,0.07444742,3.2791707515716553,0.2,4424.48095703125,5600.106700134277,15
5.0534,97,40960,484,100.0,16.894458770751953,0.8477,-119.0,5,0.2,0.15389418601989746,0.5234964622641509,-19.16604186723817,-0.04405754388854751,0.0001,0.1506925,2.787853240966797,0.2,17586.734375,24678.915138561322,20
5.0182,117,49152,488,100.0,16.77637505531311,0.8459,-119.0,6,0.2,0.15219825506210327,0.5373779296875,-18.81643823981285,-0.0591033220407553,0.0001,0.091390245,3.2723288536071777,0.2,46654.2109375,60719.0423461914,25
5.155,138,57344,481,100.0,17.000040292739868,0.8528,-119.0,7,0.2,0.14791977405548096,0.5934814453125,-18.371815925836565,-0.055467810793197715,0.0001,0.12764367,3.3071258068084717,0.2,78435.0,102372.48630371093,30
5.3441,158,65536,492,100.0,16.6353018283844,0.8622,-119.0,8,0.2,0.08930891752243042,0.6204345703125,-18.51944088935852,-0.06534432186599588,0.0001,0.15593383,3.252074956893921,0.2,172693.765625,242809.946484375,35
5.3798,177,73728,495,100.0,16.54925036430359,0.864,-119.0,9,0.2,0.09975016117095947,0.651416015625,-18.56321852207184,-0.056174702316639014,0.0001,0.19128765,3.241729259490967,0.2,380509.71875,440282.0181640625,40
5.4245,197,81920,493,100.0,16.602585315704346,0.8662,-119.0,10,0.2,0.05661725997924805,0.6718505859375,-18.313975447416304,-0.0290600747364806,0.0001,0.1664649,3.254700183868408,0.2,488582.28125,601403.3163085937,45
5.5742,217,90112,492,100.0,16.623748302459717,0.8737,-119.0,11,0.2,0.03591501712799072,0.6702392578125,-18.112591660022737,-0.038426299403363375,0.0001,0.2044757,3.257659673690796,0.2,707588.3125,872420.609765625,50
5.5999,237,98304,487,99.9922,16.81753396987915,0.8749,-118.9844,12,0.2,0.05885666608810425,0.6793859649122806,-18.083826098525734,-0.0281753705324311,0.0001,0.21887448,2.8856241703033447,0.2,813035.875,988830.650877193,55
5.8065,257,106496,487,99.8074,16.801406621932983,0.8834,-118.6148,13,0.2,0.04072004556655884,0.6877933020477816,-18.110722063344493,-0.017261935712661557,0.0001,0.20563346,2.9708993434906006,0.2,1363511.25,1577042.5418088736,60
5.7921,277,114688,488,99.8432,16.761629581451416,0.883,-118.6864,14,0.2,0.005495250225067139,0.7219006147540984,-17.806227324438876,-0.0029942603110045683,0.0001,0.20845948,3.100806713104248,0.2,1276007.625,1577365.3790983607,65
5.5983,295,122880,490,100.0,16.693340063095093,0.8749,-119.0,15,0.2,-0.020975351333618164,0.678466796875,-17.682448191302164,0.011663406093638124,0.0001,0.20058551,2.2749593257904053,0.2,1124583.375,1358621.824497768,70
5.4631,313,131072,488,100.0,16.779794692993164,0.8682,-119.0,16,0.2,0.011612176895141602,0.6243206521739131,-17.31751475126847,0.09154511291695677,0.0001,0.1658904,0.23432540893554688,0.2,1717634.875,1973791.4510869565,75
5.5543,329,139264,492,99.823,16.63968276977539,0.8709,-118.646,17,0.2,0.00976794958114624,0.6303013392857143,-16.936311994280135,0.10980075923725963,0.0001,0.16346884,0.2849247455596924,0.2,2704793.0,3847393.9910714286,80
5.6631,346,147456,489,99.9484,16.74907350540161,0.8776,-118.8968,18,0.2,0.005745589733123779,0.5855034722222222,-16.563738611009384,0.09500032482254836,0.0001,0.13723305,0.1843876838684082,0.2,2970307.25,3568963.138888889,85
5.7397,363,155648,494,99.8593,16.580567598342896,0.8806,-118.7186,19,0.2,0.01936393976211548,0.5760416666666667,-16.38798599243164,0.09491869794825712,0.0001,0.1253575,0.15294885635375977,0.2,3678581.0,4247387.066666666,90
5.4943,380,163840,483,100.0,16.953030347824097,0.8697,-119.0,20,0.2,0.013737678527832031,0.6070772058823529,-15.930185037500719,0.09522302810321837,0.0001,0.14711945,0.1739199161529541,0.2,5531646.5,7288853.323529412,95
5.3083,397,172032,479,100.0,17.096085786819458,0.8604,-119.0,21,0.2,0.018327772617340088,0.4720982142857143,-15.299759319850377,0.0875266423182828,0.0001,0.10921826,0.07377505302429199,0.2,7474144.0,9048836.57142857,100
